"id";"createdAt";"updatedAt";"m_id";"m_type";"m_parent";"m_icon";"scr_id";"m_label_key";"m_en_label";"m_cohort";"m_order";"m_url"
110;"";"";"M_010";"M";0;"fa fa-star-half-o";"s010";"label.menu.activities";"Activities";"";"";""
120;"";"";"M_020";"M";0;"icon-chemistry";"null";"label.menu.leads";"Leads";"";"";""
121;"";"";"M_021";"S";120;"icon-list";"s102";"label.menu.lead.list";"List";"";"";""
122;"";"";"M_022";"S";120;"icon-list";"s101";"label.menu.lead.entry";"New";"";"";""
130;"";"";"M_030";"M";0;"icon-energy";"null";"label.menu.opportunities";"Opportunities";"";"";""
140;"";"";"M_040";"M";0;"icon-organization";"null";"label.menu.accounts";"Accounts";"";"";""
150;"";"";"M_050";"M";0;"icon-people";"null";"label.menu.contacts";"Contacts";"";"";""
160;"";"";"M_060";"M";0;"icon-magnet";"s060";"label.menu.campaigns";"Campaigns";"";"";""
170;"";"";"M_070";"M";0;"icon-settings";"s070";"label.menu.settings";"Settings";"";"";""
171;"";"";"M_071";"M";170;"fa fa-minus";"null";"label.menu.setting.admin";"Administration";"";"";""
172;"";"";"M_072";"M";170;"fa fa-minus";"null";"label.menu.setting.configuration";"Configuration";"";"";""
1301;"";"";"M_0301";"S";130;"icon-list";"s105";"label.menu.opportunity.list";"List";"";"";""
1302;"";"";"M_0302";"S";130;"icon-list";"s104";"label.menu.opportunity.entry";"New";"";"";""
1401;"";"";"M_0401";"S";140;"icon-list";"s108";"label.menu.account.list";"List";"";"";""
1402;"";"";"M_0402";"S";140;"icon-list";"s107";"label.menu.account.entry";"New";"";"";""
1501;"";"";"M_0501";"S";150;"icon-list";"s111";"label.menu.contact.list";"List";"";"";""
1502;"";"";"M_0502";"S";150;"icon-list";"s110";"label.menu.contact.entry";"New";"";"";""
1710;"";"";"M_0710";"M";171;"fa fa-minus";"null";"label.menu.setting.admin.company";"Company Settings";"";"";""
1711;"";"";"M_0711";"S";1710;"fa fa-minus";"null";"label.menu.setting.admin.company.info";"Company Information";"";"";""
1720;"";"";"M_0720";"M";171;"fa fa-minus";"null";"label.menu.setting.admin.user";"User Settings";"";"";""
1721;"";"";"M_0721";"S";1720;"fa fa-minus";"s01721";"label.menu.setting.admin.user.manage";"Manage Users";"";"";""
1722;"";"";"M_0722";"S";1720;"fa fa-minus";"s01722";"label.menu.setting.admin.user.role";"User Role Definition";"";"";""
1723;"";"";"M_0723";"S";1720;"fa fa-minus";"s01723";"label.menu.setting.admin.user.organization";"Organization Structure";"";"";""
1724;"";"";"M_0724";"S";1720;"fa fa-minus";"s01724";"label.menu.setting.admin.user.activity";"User Activity History";"";"";""
1730;"";"";"M_0730";"M";171;"fa fa-minus";"null";"label.menu.setting.admin.security";"Security Settings";"";"";""
1731;"";"";"M_0731";"S";1730;"fa fa-minus";"s01731";"label.menu.setting.admin.security.policy.manage";"Password Policy";"";"";""
1732;"";"";"M_0732";"S";0;"fa fa-hashtag";"s1732";"label.menu.calendar";"Calendar";"M";"6";"/calendar"
1733;"";"";"M_0733";"S";0;"fa fa-hashtag";"s1733";"label.menu.task";"Task";"M";"7";"/task"
