"screenDetail";"createdAt";"updatedAt";"scr_id";"data_src_id"
"";"";"";"s101";"s101"
"";"";"";"s102";"s101"
"";"";"";"s103";"s101"
"";"";"";"s104";"s104"
"";"";"";"s105";"s104"
"";"";"";"s106";"s104"
"";"";"";"s107";"s107"
"";"";"";"s108";"s107"
"";"";"";"s109";"s107"
"";"";"";"s110";"s110"
"";"";"";"s111";"s110"
"";"";"";"s112";"s110"
"";"";"";"s113";"s113"
"";"";"";"s114";"s113"
"";"";"";"s115";"s115"
"";"";"";"s116";"s115"
"";"";"";"s117";"s115"
"";"";"";"s118";"s118"
"";"";"";"s119";"s118"
"";"";"";"s120";"s118"
